t1,key1,t2,key2,reduce,time
20000,16,20000,16,38,42108
20000,16,20000,16,39,42105
20000,16,20000,16,40,42120
20000,16,50000,6,1,58112
20000,16,50000,6,2,40117
20000,16,50000,6,3,34115
20000,16,50000,6,4,34112
20000,16,50000,6,5,32113
20000,16,50000,6,6,30110
20000,16,50000,6,7,30120
20000,16,50000,6,8,30112
20000,16,50000,6,9,32110
20000,16,50000,6,10,30109
20000,16,50000,6,11,32346
20000,16,50000,6,12,32123
20000,16,50000,6,13,32124
20000,16,50000,6,14,32114
20000,16,50000,6,15,32119
20000,16,50000,6,16,32109
20000,16,50000,6,17,32110
20000,16,50000,6,18,32115
20000,16,50000,6,19,34106
20000,16,50000,6,20,34131
20000,16,50000,6,21,34117
20000,16,50000,6,22,36105
20000,16,50000,6,23,36113
20000,16,50000,6,24,38108
20000,16,50000,6,25,36111
20000,16,50000,6,26,38108
20000,16,50000,6,27,38115
20000,16,50000,6,28,38113
20000,16,50000,6,29,40111
20000,16,50000,6,30,38116
20000,16,50000,6,31,40109
20000,16,50000,6,32,40115
20000,16,50000,6,33,42117
20000,16,50000,6,34,42106
20000,16,50000,6,35,42105
20000,16,50000,6,36,44107
20000,16,50000,6,37,44118
20000,16,50000,6,38,44117
20000,16,50000,6,39,44139
20000,16,50000,6,40,46118
25000,18,35000,23,1,44105
25000,18,35000,23,2,32111
25000,18,35000,23,3,28111
25000,18,35000,23,4,28162
25000,18,35000,23,5,26107
25000,18,35000,23,6,28111
25000,18,35000,23,7,26119
25000,18,35000,23,8,28105
25000,18,35000,23,9,28109
25000,18,35000,23,10,28356
25000,18,35000,23,11,28113
25000,18,35000,23,12,30110
25000,18,35000,23,13,30112
25000,18,35000,23,14,30116
25000,18,35000,23,15,32114
25000,18,35000,23,16,30119
25000,18,35000,23,17,32107
25000,18,35000,23,18,32171
25000,18,35000,23,19,32113
25000,18,35000,23,20,32115
25000,18,35000,23,21,32117
25000,18,35000,23,22,34115
25000,18,35000,23,23,36110
25000,18,35000,23,24,36117
25000,18,35000,23,25,36117
25000,18,35000,23,26,38111
25000,18,35000,23,27,38119
25000,18,35000,23,28,36117
25000,18,35000,23,29,38107
25000,18,35000,23,30,38121
25000,18,35000,23,31,38098
25000,18,35000,23,32,38109
25000,18,35000,23,33,40104
25000,18,35000,23,34,40111
25000,18,35000,23,35,42122
25000,18,35000,23,36,42129
25000,18,35000,23,37,42116
25000,18,35000,23,38,44116
